Run!	Spring!
Her dress was cheap.	Hennes klänning var billig.
Her speech bored me.	Hennes tal tråkade ut mig.
Here's how we do it.	Det är såhär vi gör.
Hey, I have an idea.	Du, jag har en idé.
Hey, check this out.	Du, kolla in det här.
Hey, come back here.	Du där, kom tillbaka.
Hey, you look great.	Hej, du ser jättebra ut.
His biceps are huge.	Hans biceps är jättestora.
His ideas are crazy.	Hans idéer är galna.
His name escapes me.	Jag kan inte komma på vad han heter.
His parents love me.	Hans föräldrar älskar mig.
Hold onto your hats.	Håll i era hattar.
Hold out your hands.	Håll ut dina händer.
Hold your head high.	Håll huvudet högt.
Honey, are you hurt?	Älskling, är du skadad?
How about I do that?	Det är kanske bättre att jag gör det.
How about a contest?	Ska vi tävla?
How awesome is that?	Det är ju hur bra som helst!
How bad could it be?	Hur illa kan det vara?
How bad is Tom hurt?	Hur svårt skadad är Tom?
How bad is the pain?	Hur ont gör det?
How can I reach Tom?	Hur kan jag nå Tom?
How can I trust you?	Hur ska jag kunna lita på dig?
How can Tom do that?	Hur kan Tom göra så?
How can Tom do this?	Hur kan Tom göra såhär?
How can we help Tom?	Hur kan vi hjälpa Tom?
How can we help you?	Hur kan vi hjälpa dig?
How can we help you?	Hur kan vi stå till tjänst?
How can we prove it?	Hur kan vi bevisa det?
How can we save Tom?	Hur kan vi rädda Tom?
How can you be sure?	Hur kan du vara säker?
How can you do that?	Hur kan du göra sådär?
How can you do this?	Hur kan du göra såhär?
How can you help me?	Hur kan du hjälpa mig?
How could I do that?	Hur skulle jag kunna göra det?
How deep is it here?	Hur djupt är det här?
How did I miss that?	Hur kunde jag missa det där?
How did I miss this?	Hur kunde jag missa det här?
How did Tom do that?	Hur gjorde Tom det där?
How did Tom do this?	Hur gjorde Tom det här?
How did Tom find us?	Hur hittade Tom oss?
How did Tom like it?	Vad tyckte Tom om den?
How did Tom survive?	Hur överlevde Tom?
How did Tom take it?	Hur tog Tom det?
How did it get here?	Hur kom den hit?
How did that happen?	Hur hände det där?
How did you find us?	Hur hittade ni oss?
How did you find us?	Hur hittade du oss?
How did you stop it?	Hur fick du slut på det?
How did you stop it?	Hur stoppade du det?
How did you survive?	Hur överlevde du?
How did your day go?	Hurdan var din dag?
How do I explain it?	Hur ska jag förklara det?
How do I get to NHK?	Hur når jag NHK?
How do they do that?	Hur gör de det?
How do we know that?	Hur vet vi det?
How do we stop them?	Hur ska vi stoppa dem?
How do you fix this?	Hur lagar man den här?
How do you know Tom?	Hur känner du Tom?
How do you know Tom?	Hur känner ni Tom?
How do you say that?	Hur säger man det?
How does it help us?	Hur hjälper det oss?
How effective is it?	Hur effektiv är den?
How far away is Tom?	Hur långt borta är Tom?
How far did Tom get?	Hur långt kom Tom?
How hot will it get?	Hur varmt blir det?
How is it different?	På vilket sätt är det annorlunda?
How large were they?	Hur stora var de?
How long do we have?	Hur länge har vi på oss?
How long do we have?	Hur lång tid har vi?
How much did I lose?	Hur mycket förlorade jag?
How much do you eat?	Hur mycket äter du?
How much will it be?	Hur mycket blir det?
How old are you now?	Hur gammal är du nu?
How old is your son?	Hur gammal är din son?
How was the reunion?	Hur var återträffen?
How was the seminar?	Hur var seminariet?
How will you escape?	Hur ska du fly?
How will you manage?	Hur ska du klara dig?
How will you manage?	Hur ska ni klara er?
How would that help?	Hur skulle det hjälpa?
How would that look?	Hur skulle det se ut?
How would you react?	Hur skulle du reagera?
I admire your pluck.	Jag beundrar ditt mod.
I almost called Tom.	Jag ringde nästan till Tom.
I almost got robbed.	Jag blev nästan rånad.
I almost killed Tom.	Jag dödade nästan Tom.
I almost killed Tom.	Jag var nära att döda Tom.
I almost kissed Tom.	Jag kysste nästan Tom.
I already know that.	Det vet jag redan.
I already regret it.	Jag ångrar det redan.
I already sold that.	Jag sålde den där redan.
I always take a bus.	Jag tar alltid bussen.
I always take notes.	Jag antecknar alltid.
I always thought so.	Så har jag alltid tyckt.
I am being followed.	Jag är förföljd.
I am not interested.	Jag är inte intresserad.
I am not your enemy.	Jag är inte din fiende.
I am not your enemy.	Jag är inte er fiende.
I am playing guitar.	Jag spelar gitarr.
I am poor at tennis.	Jag är dålig på tennis.
I am writing an SMS.	Jag skriver ett sms.
I apologize for Tom.	Jag ber om ursäkt för Tom.
I asked Tom to stop.	Jag bad Tom att sluta.
I beat him at chess.	Jag vann över honom på schack.
I beat him at chess.	Jag slog honom på schack.
I believe Tom knows.	Jag tror att Tom vet.
I believe her story.	Jag tror på hennes berättelse.
I believe in myself.	Jag tror på mig själv.
I bought a sandwich.	Jag köpte en sandwich.
I bought a sandwich.	Jag köpte en dubbelmacka.
I bought some stuff.	Jag köpte lite grejer.
I broke up with Tom.	Jag gjorde slut med Tom.
I brought some wine.	Jag tog med mig lite vin.
I brought you lunch.	Jag tog med lunch till dig.
I built a new house.	Jag byggde ett nytt hus.
I called the police.	Jag ringde polisen.
I came back for you.	Jag kom tillbaka för din skull.
I came by to say hi.	Jag kom för att säga hej.
I can come at three.	Jag kan komma klockan tre.
I can deal with Tom.	Jag kan ta hand om Tom.
I can do it for you.	Jag kan göra det åt dig.
I can do it for you.	Jag kan göra det för dig.
I can get you there.	Jag kan föra dig dit.
I can handle myself.	Jag kan stå upp för mig själv.
I can hear the wind.	Jag kan höra vinden.
I can keep a secret.	Jag kan hålla en hemlighet.
I can ride with Tom.	Jag kan åka med Tom.
I can seal the leak.	Jag kan stoppa läckan.
I can smell flowers.	Jag känner doften av blommor.
I can smell flowers.	Det doftar blommor.
I can smell flowers.	Det doftar av blommor.
I can still do that.	Jag kan ännu göra det.
I can survive alone.	Jag kan överleva ensam.
I can take Tom home.	Jag kan föra hem Tom.
I can understand it.	Jag kan förstå det.
I can wait out here.	Jag kan vänta här ute.
I can't answer that.	Jag kan inte svara på det.
I can't change that.	Jag kan inte ändra på det.
I can't contact Tom.	Jag kan inte kontakta Tom.
I can't contact Tom.	Jag får inte kontakt med Tom.
I can't contact Tom.	Jag kan inte få kontakt med Tom.
I can't control Tom.	Jag kan inte kontrollera Tom.
I can't do any more.	Jag kan inte göra mer.
I can't do it alone.	Jag kan inte göra det själv.
I can't do it alone.	Jag klarar det inte själv.
I can't do it today.	Jag kan inte göra det i dag.
I can't do it today.	Jag klarar det inte i dag.
I can't do that now.	Jag kan inte göra det nu.
I can't do that now.	Jag klara det inte nu.
I can't draw a bird.	Jag kan inte rita en fågel.
I can't go back now.	Jag kan inte gå tillbaka nu.
I can't look at Tom.	Jag kan inte titta på Tom.
I can't stand liars.	Jag klarar inte av lögnare.
I can't stand liars.	Jag står inte ut med lögnare.
I checked the gauge.	Jag kollade måttet.
I could be mistaken.	Jag kan ha tagit fel.
I could be mistaken.	Jag kan ha fel.
I could do it again.	Jag kunde göra det igen.
I could eat a horse.	Jag kunde äta en häst.
I could go with you.	Jag kan komma med dig.
I could hardly wait.	Jag kunde knappt vänta.
I could lose my job.	Jag kan förlora mitt jobb.
I could talk to Tom.	Jag kan tala med Tom.
I could talk to Tom.	Jag skulle kunna tala med Tom.
I cried all morning.	Jag grät hela morgonen.
I decorated my room.	Jag inredde mitt rum.
I did some checking.	Jag kollade upp några saker.
I did some research.	Jag forskade lite.
I did that ages ago.	Det gjorde jag för länge sedan.
I did that one time.	Jag gjorde det en gång.
I didn't have to go.	Jag behövde inte gå.
I didn't have to go.	Jag behövde inte åka.
I didn't have to go.	Jag var inte tvungen att gå.
I didn't have to go.	Jag var inte tvungen att åka.
I didn't sleep well.	Jag sov inte bra.
I disagree with Tom.	Jag håller inte med Tom.
I disagree with you.	Jag håller inte med dig.
I do need your help.	Jag behöver verkligen din hjälp.
I do not understand.	Jag förstår inte.
I do pray sometimes.	Jag ber faktiskt ibland.
I do trust you, Tom.	Jag litar verkligen på dig, Tom.
I do worry about it.	Jag oroar mig verkligen för det.
I don't go out much.	Jag går inte ut så ofta.
I don't have a cent.	Jag har inte ett öre.
I don't have a suit.	Jag har ingen kostym.
I don't really know.	Jag vet egentligen inte.
I don't really know.	Jag vet inte riktigt.
I eat a lot of meat.	Jag äter mycket kött.
I eat with my hands.	Jag äter med händerna.
I enjoyed this book.	Jag tyckte om den här boken.
I feel empty inside.	Jag känner mig tom inombords.
I feel kind of sick.	Jag känner mig liksom lite sjuk.
I feel like a slave.	Jag känner mig som en slav.
I feel like waiting.	Jag känner för att vänta.
I feel very unhappy.	Jag känner mig väldigt olycklig.
I fix broken radios.	Jag fixar trasiga radioapparater.
I followed Tom here.	Jag följde efter Tom hit.
I forgot my manners.	Jag bar mig ohyfsat åt.
I forgot to ask Tom.	Jag glömde att fråga Tom.
I gave Tom a choice.	Jag gav Tom ett val.
I gave Tom an apple.	Jag gav Tom ett äpple.
I got married again.	Jag har gift mig igen.
I got married young.	Jag gifte mig ung.
I got really hungry.	Jag blev riktigt hungrig.
I got that from Tom.	Jag fick den av Tom.
I got you something.	Jag köpte någonting åt dig.
I got you something.	Jag har köpt någonting åt dig.
I had a decent meal.	Jag åt en hyfsad måltid.
I had a premonition.	Jag kände på mig det.
I had a premonition.	Jag hade en förkänsla av det.
I had my suspicions.	Jag hade mina misstankar.
I had one last hope.	Jag hade ett sista hopp.
I had to do my duty.	Jag var tvungen att göra min plikt.
I had to rent a car.	Jag var tvungen att hyra en bil.
I hate alarm clocks.	Jag hatar väckarklockor.
I hate being a boss.	Jag hatar att vara chef.
I hate being single.	Jag hatar att vara singel.
I hate being stupid.	Jag hatar att vara dum.
I hate that so much.	Jag hatar det där så mycket.
I hate that trumpet.	Jag hatar den där trumpeten.
I hate this weather.	Jag hatar det här vädret.
I hate those things.	Jag hatar de där sakerna.
I hate those things.	Jag hatar de där.
I hated it at first.	Jag hatade det först.
I hated it at first.	Jag avskydde det först.
I have a big family.	Jag har en stor familj.
I have a disability.	Jag har ett handikapp.
I have a girlfriend.	Jag har en flickvän.
I have a great idea.	Jag har en jättebra idé.
I have a spare room.	Jag har ett ledigt rum.
I have a stiff neck.	Jag har styv nacke.
I have an open mind.	Jag har ett öppet sinne.
I have another idea.	Jag har en annan idé.
I have another plan.	Jag har en annan plan.
I have been to Rome.	Jag har varit i Rom.
I have bills to pay.	Jag har räkningar att betala.
I have bought a car.	Jag har köpt en bil.
I have chapped lips.	Jag har nariga läppar.
I have lucid dreams.	Jag har klarsynta drömmar.
I have lucid dreams.	Jag har klardrömmar.
I have my own house.	Jag har ett eget hus.
I have no objection.	Jag har ingenting att invända.
I have nothing else.	Jag har ingenting annat.
I have one of those.	Jag har en sådan.
I have one question.	Jag har en fråga.
I have only one pen.	Jag har bara en penna.
I have several caps.	Jag har flera kepsar.
I have several caps.	Jag har ett flertal kepsar.
I have tennis elbow.	Jag har tennisarmbåge.
I have to change it.	Jag måste ändra den.
I have to do it now.	Jag måste göra det nu.
I have to do my job.	Jag måste göra mitt jobb.
I have to get going.	Jag måste ge mig i väg.
I have to go change.	Jag måste gå och byta om.
I have to go change.	Jag måste gå och byta kläder.
I have to leave now.	Jag måste gå nu.
I have to leave now.	Jag måste bege mig nu.
I have to leave now.	Jag måste ge mig av nu.
I have to leave you.	Jag måste lämna dig.
I have to skedaddle.	Jag måste sjappa.
I have to skedaddle.	Jag måste ge mig av.
I have to stay calm.	Jag måste hålla mig lugn.
I have to stop this.	Jag måste sluta upp med det här.
I have to stop this.	Jag måste få ett slut på det här.
I have to study now.	Jag måste studera nu.
I have to study now.	Jag måste plugga nu.
I have to trust Tom.	Jag måste lita på Tom.
I have you to thank.	Jag har dig att tacka.
I have your tickets.	Jag har era biljetter.
I heard it was nice.	Jag hörde att det var trevligt.
I heard the message.	Jag hörde meddelandet.
I hid under the bed.	Jag gömde mig under sängen.
I hope Tom helps me.	Jag hoppas att Tom hjälper mig.
I hope Tom is wrong.	Jag hoppas att Tom har fel.
I hope Tom says yes.	Jag hoppas att Tom säger ja.
I hope it works out.	Jag hoppas att det ordnar sig.
I hope they like me.	Jag hoppas att de gillar mig.
I hope you can help.	Jag hoppas att du kan hjälpa till.
I hope you find Tom.	Jag hoppas att du hittar Tom.
I hope you like Tom.	Jag hoppas att du tycker om Tom.
I hope you're right.	Jag hoppas att du har rätt.
I hurt myself today.	Jag gjorde mig illa idag.
I intend to do that.	Jag har för avsikt att göra det.
I just cleaned this.	Jag rengjorde den här nyss.
I just cut my nails.	Jag klippte nyss naglarna.
I just love flowers.	Jag bara älskar blommor.
I just want answers.	Jag vill bara ha svar.
I just want to know.	Jag vill bara veta.
I just want to rest.	Jag vill bara vila.
I just want to talk.	Jag vill bara prata.
I knew that already.	Det visste jag redan.
I knew you'd be mad.	Jag visste att du skulle bli arg.
I know Tom is right.	Jag vet att Tom har rätt.
I know that already.	Det vet jag redan.
I know these people.	Jag vet vad de är för ena.
I know these people.	Jag känner de här personerna.
I know this is hard.	Jag vet att det här är svårt.
I know this is hard.	Jag vet att detta är svårt.
I know this is hard.	Jag vet att det är svårt.
I know what's right.	Jag vet vad som är rätt.
I know what's wrong.	Jag vet vad som är fel.
I know where she is.	Jag vet var hon är.
I know you feel bad.	Jag vet att du mår dåligt.
I know you're right.	Jag vet att du har rätt.
I know you're upset.	Jag vet att du är upprörd.
I know you're upset.	Jag vet att ni är upprörda.
I like French toast.	Jag tycker om fattiga riddare.
I like your mirrors.	Jag gillar dina speglar.
I liked your speech.	Jag gillade ditt tal.
I love Chinese food.	Jag älskar kinamat.
I love Chinese food.	Jag älskar kinesisk mat.
I love that program.	Jag älskar det programmet.
I love this company.	Jag älskar det här företaget.
I love this picture.	Jag älskar den här bilden.
I make €100 a day.	Jag tjänar 100 euro om dagen.
I met him yesterday.	Jag träffade honom i går.
I might talk to Tom.	Jag kanske kommer att prata med Tom.
I might talk to Tom.	Jag kanske pratar med Tom.
I must be going now.	Jag måste bege mig nu.
I must be going now.	Jag måste ge mig av nu.
I must be on my way.	Jag måste gå nu.
I must do something.	Jag måste göra någonting.
I must go somewhere.	Jag måste åka någonstans.
I must learn French.	Jag måste lära mig franska.
I must work tonight.	Jag måste jobba ikväll.
I need a dictionary.	Jag behöver en ordbok.
I need a girlfriend.	Jag behöver en flickvän.
I need a huge favor.	Jag behöver en stor tjänst.
I need help in here.	Jag behöver hjälp här inne.
I need men like you.	Jag behöver män som du.
I need some answers.	Jag behöver svar.
I need the car keys.	Jag behöver bilnycklarna.
I need the password.	Jag behöver lösenordet.
I need to come home.	Jag måste komma hem.
I need to get a pen.	Jag måste få en penna.
I need you a second.	Jag behöver dig en sekund.
I need you to drive.	Du måste köra.
I need you to leave.	Du måste gå.
I never could do it.	Jag kunde aldrig göra det.
I never doubted you.	Jag tvivlade aldrig på dig.
I never lied to Tom.	Jag ljög aldrig för Tom.
I never pick fights.	Jag börjar aldrig slåss.
I never touched Tom.	Jag rörde aldrig Tom.
I never wanted this.	Jag ville aldrig ha den här.
I only wish to help.	Jag önskar bara hjälpa.
I only wish to help.	Jag vill bara vara till hjälp.
I polished my shoes.	Jag polerade mina skor.
I pretended to work.	Jag låtsades arbeta.
I rang the doorbell.	Jag ringde på dörrklockan.
I really am unlucky!	Jag har verkligen otur!
I really doubt that.	Det tvivlar jag faktiskt på.
I remember all that.	Jag kommer ihåg allt det där.
I remember all that.	Jag minns allt det där.
I remember this map.	Jag kommer ihåg den här kartan.
I returned to Japan.	Jag återvände till Japan.
I revised my theory.	Jag omarbetade min teori.
I revised my theory.	Jag reviderade min teori.
I said good morning.	Jag sa god morgon.
I said good morning.	God morgon, sa jag.
I saw her yesterday.	Jag såg henne i går.
I saw one yesterday.	Jag såg en igår.
I saw one yesterday.	Jag såg ett igår.
I saw what happened.	Jag såg vad som hände.
I see Tom every day.	Jag träffar Tom varje dag.
I see Tom every day.	Jag ser Tom varje dag.
I should be resting.	Jag borde vila.
I shouldn't be here.	Jag borde inte vara här.
I speak French, too.	Jag pratar franska också.
I stole it from Tom.	Jag stal den från Tom.
I stole it from Tom.	Jag stal det från Tom.
I study art history.	Jag studerar konsthistoria.
I suddenly felt old.	Jag kände mig plötsligt gammal.
I suggest you hurry.	Jag föreslår att du skyndar dig.
I taught Tom French.	Jag lärde Tom franska.
I think I sat on it.	Jag tror att jag satt på den.
I think I sat on it.	Jag tror att jag satte mig på den.
I think I'm in love.	Jag tror att jag är förälskad.
I think I'm in love.	Jag tror att jag är kär.
I think you're nice.	Jag tycker att du är trevlig.
I think you're nice.	Jag tycker att du är snäll.
I thought about Tom.	Jag tänkte på Tom.
I thought we agreed.	Jag trodde att vi hade kommit överens.
I told Tom to relax.	Jag sa åt Tom att ta det lugnt.
I told you to leave.	Jag sa åt dig att gå.
I told you to leave.	Jag sa åt er att gå.
I told you to leave.	Jag sa åt dig att ge dig iväg.
I told you to leave.	Jag sa åt er att ge er iväg.
I took this picture.	Jag tog den här bilden.
I tried really hard.	Jag ansträngde mig verkligen.
I tried to warn you.	Jag försökte varna dig.
I tried to warn you.	Jag försökte varna er.
I trust the teacher.	Jag litar på läraren.
I want an ice cream.	Jag vill ha en glass.
I want to apologize.	Jag vill be om ursäkt.
I want to come home.	Jag vill komma hem.
I want to eat pizza.	Jag vill äta pizza.
I want to marry her.	Jag vill gifta mig med henne.
I want you to dance.	Jag vill att du dansar.
I was being selfish.	Jag var självisk.
I was following you.	Jag följde efter dig.
I was in a bad mood.	Jag var på dåligt humör.
I was just guessing.	Jag gissade bara.
I was just relaxing.	Jag kopplade bara av.
I was raised Jewish.	Jag fick en judisk uppfostran.
I was really hungry.	Jag var jättehungrig.
I was taking a bath.	Jag tog ett bad.
I washed my T-shirt.	Jag tvättade min T-shirt.
I washed the dishes.	Jag diskade.
I washed the sheets.	Jag tvättade lakanen.
I wasn't even there.	Jag var inte ens där.
I watched Tom leave.	Jag såg Tom ge sig av.
I went back to work.	Jag började jobba igen.
I went back to work.	Jag gick tillbaka till jobbet.
I will be back soon.	Jag kommer tillbaka snart.
I will go if you go.	Jag går om du går.
I wish I had a band.	Jag önskar att jag hade ett band.
I wish I had a twin.	Jag önskar att jag hade en tvilling.
I wish I understood.	Jag önskar att jag förstod.
I wish Tom was here.	Jag önskar att Tom var här.
I wish Tom was here.	Jag önskar att Tom vore här.
I wrote that letter.	Jag skrev det brevet.
I'd be OK with that.	Det skulle gå bra för mig.
I'd be glad to help.	Jag hjälper gärna till.
I'd die without you.	Jag skulle dö utan dig.
I'd die without you.	Jag skulle dö utan er.
I'd like to see Tom.	Jag skulle vilja träffa Tom.
I'd like to see Tom.	Jag skulle vilja se Tom.
I'll be good to Tom.	Jag ska vara snäll mot Tom.
I'll be happy to go.	Jag åker gärna.
I'll be out of town.	Jag kommer att vara utanför stan.
I'll buy Tom a beer.	Jag ska köpa en öl till Tom.
I'll call you a cab.	Jag ringer efter en taxi åt dig.
I'll call you a cab.	Jag ringer en taxi åt dig.
I'll do as I please.	Jag gör som jag vill.
I'll do as you wish.	Jag ska göra som du önskar.
I'll do what I want.	Jag gör som jag vill.
I'll get it for you.	Jag hämtar den åt dig.
I'll get the doctor.	Jag hämtar läkaren.
I'll get the ladder.	Jag hämtar stegen.
I'll get the others.	Jag hämtar de andra.
I'll get used to it.	Jag vänjer mig.
I'll get you a beer.	Jag ska hämta en öl åt dig.
I'll give them back.	Jag ska ge dem tillbaka.
I'll go and get Tom.	Jag ska gå och hämta Tom.
I'll go get changed.	Jag går och byter om.
I'll go in a minute.	Jag går om en minut.
I'll grab your bags.	Jag tar dina väskor.
I'll guard the door.	Jag vaktar dörren.
I'll miss you a lot.	Jag kommer att sakna dig mycket.
I'll pay my own way.	Jag betalar på mitt eget sätt.
I'll tell Tom later.	Jag berättar för Tom senare.
I'll tell Tom later.	Jag ska berätta för Tom senare.
I'm a little hungry.	Jag är lite hungrig.
I'm a social worker.	Jag är socialarbetare.
I'm a social worker.	Jag är socialvårdare.
I'm a stranger here.	Jag är en främling här.
I'm absolutely sure!	Jag är helt säker!
I'm an innocent man.	Jag är oskyldig.
I'm an innocent man.	Jag är en oskyldig man.
I'm at a truck stop.	Jag är på en servicestation för lastbilar.
I'm being picked up.	Jag blir hämtad.
I'm being picked up.	Jag blir upphämtad.
I'm being picked up.	Jag blir uppraggad.
I'm being picked up.	Jag håller på att bli uppraggad.
I'm doing it myself.	Jag gör det själv.
I'm glad I can help.	Jag är glad att kunna hjälpa till.
I'm glad we saw Tom.	Jag är glad att vi såg Tom.
I'm going into town.	Jag åker in till stan.
I'm going on a diet.	Jag ska börja banta.
I'm going to fix it.	Jag ska laga den.
I'm going to go now.	Jag ska gå nu.
I'm going to go now.	Jag kommer att gå nu.
I'm going to go now.	Jag går nu.
I'm headed that way.	Jag är på väg åt det hållet.
I'm kind of a loner.	Jag är något av en ensamvarg.
I'm no good for you.	Jag är inte bra för dig.
I'm no judge of art.	Jag är ingen konstkännare.
I'm not a bit tired.	Jag är inte ett dugg trött.
I'm not a good liar.	Jag är inte bra på att ljuga.
I'm not at all busy.	Jag är inte alls upptagen.
I'm not at all well.	Jag är inte alls frisk.
I'm not being cruel.	Jag är inte elak.
I'm not going to go.	Jag kommer inte att gå.
I'm not in any pain.	Jag har inte ont.
I'm not in any pain.	Jag har inte ont någonstans.
I'm not proud of it.	Jag är inte stolt över det.
I'm not so sure now.	Jag är inte så säker nu.
I'm on my way there.	Jag är på väg dit.
I'm only a customer.	Jag är bara en kund.
I'm slightly hungry.	Jag är lite hungrig.
I'm so proud of you.	Jag är så stolt över dig.
I've got a few more.	Jag har några till.
I've got a question.	Jag har en fråga.
I've got great news.	Jag har jättegoda nyheter.
I've got some ideas.	Jag har fått lite idéer.
I've got three kids.	Jag har tre barn.
I've got to be free.	Jag måste vara fri.
I've got to go back.	Jag måste återvända.
I've got to go back.	Jag måste gå tillbaka.
I've got to go, Tom.	Jag måste gå, Tom.
I've got work to do.	Jag har jobb att sköta.
I've had a bad week.	Jag har haft en dålig vecka.
I've just come home.	Jag har precis kommit hem.
I've just had lunch.	Jag har precis ätit lunch.
I've just had lunch.	Jag har nyss ätit lunch.
Is any of this real?	Är någonting av detta verkligt?
Is any of this true?	Är någonting av detta sant?
Is everything there?	Är allt där?
Is that a yes or no?	Är det ett ja eller ett nej?
Is the weather nice?	Är vädret fint?
Is this radio yours?	Är den här radion din?
Is this real silver?	Är detta äkta silver?
Isn't that the plan?	Är inte det planen?
Isn't that the plan?	Är det inte det som är planen?
It bothers me a lot.	Det stör mig mycket.
It cost me a bundle.	Det kostade mig skjortan.
It could be a trick.	Det kan vara ett påhitt.
It happened so fast.	Det hände så fort.
It happened so fast.	Det hände så snabbt.
It is freezing cold.	Det är iskallt.
It is going to snow.	Det kommer att komma snö.
It is going to snow.	Det kommer att snöa.
It needs to be done.	Det måste bli gjort.
It rained yesterday.	Det regnade i går.
It took all evening.	Det tog hela kvällen.
It was almost funny.	Det var nästan roligt.
It was fairly funny.	Det var ganska roligt.
It was just a fling.	Det var bara en liten kärleksaffär.
It was really funny.	Det var riktigt roligt.
It was unpardonable.	Det var oförlåtligt.
It went on for days.	Jag höll på i flera dagar.
It'll be a long day.	Det blir en lång dag.
It's a fact of life.	Det är en av livets realiteter.
It's a mess in here.	Det är en enda röra här inne.
It's about this big.	Den är ungefär så här stor.
It's all a big joke.	Det hela är ett stort skämt.
It's all new for me.	Det hela är nytt för mig.
It's already eleven.	Klockan är redan elva.
It's going to be OK.	Det kommer att ordna sig.
It's hard to accept.	Det är svårt att acceptera.
It's hard to resist.	Det är svårt att motstå.
It's my gift to you.	Det är min gåva till dig.
It's not a bad deal.	Det är ingen dålig affär.
It's not a bad idea.	Det är ingen dålig idé.
It's not a bad plan.	Det är ingen dålig plan.
It's not just a pen.	Det är inte bara en penna.
It's part of my job.	Det är en del av mitt arbete.
It's stuffy in here.	Det är kvavt här inne.
It's stuffy in here.	Det är kvalmigt här inne.
It's time to go now.	Det är dags att gå nu.
It's very hot today.	Det är väldigt varmt idag.
It's very hot today.	Det är väldigt varmt i dag.
Jesus answered them.	Jesus svarade dem.
Just don't tell Tom.	Berätta bara inte för Tom.
Just follow my lead.	Följ bara mitt exempel.
Just get in the car.	Kom in och sätt dig i bilen bara.
Just get in the car.	Sätt dig i bilen bara.
Just get on with it.	Sätt igång nu bara.
Just give it to Tom.	Ge den åt Tom bara.
Just give me a hand.	Ge mig ett handtag bara.
Just give me my gun.	Ge mig min pistol bara.
Just go back to bed.	Gå och lägg dig igen nu.
Keep an eye on them.	Håll ett öga på dem.
Let's call it a day.	Det får räcka för i dag.
Let's call it a day.	Ska vi sätta punkt här.
Let's go up on deck.	Kom så går vi upp på däck.
Let's let Tom speak.	Låt Tom prata.
Let's speak English.	Vi pratar engelska.
Look at what I made.	Se på vad jag har lagat.
Look what I got you.	Se vad jag har köpt åt dig.
Many people do this.	Många människor gör detta.
Mary is quite fussy.	Mary är ganska orolig.
Mary is quite fussy.	Mary är ganska stökig.
May I call you back?	Kan jag ringa upp dig senare?
Maybe I fell asleep.	Jag kanske somnade.
Monkeys climb trees.	Apor klättrar i träd.
More coffee, please.	Mer kaffe, tack.
More coffee, please.	Kan jag få mer kaffe?
My dad likes tennis.	Min pappa tycker om tennis.
My ears are ringing.	Det ringer i mina öron.
My fingers are numb.	Mina fingrar är domnade.
My fingers are numb.	Mina fingrar har domnat.
My hair is so dirty!	Mitt hår är så smutsigt!
My hair is too long.	Mitt hår är för långt.
My hands are sticky.	Mina händer är kladdiga.
My house is haunted.	Mitt hus är hemsökt.
My house is haunted.	Det spökar i mitt hus.
My knee is bleeding.	Jag blöder om knät.
My name is Tom, too.	Jag heter också Tom.
My new shoes squeak.	Mina nya skor knarrar.
My niece is a nurse.	Min brorsdotter är sjuksköterska.
My niece is a nurse.	Min systerdotter är sjuksköterska.
My tea is too sweet.	Mitt te är för sött.
My teachers like me.	Mina lärare tycker om mig.
My wife is a doctor.	Min fru är läkare.
My zipper got stuck.	Min dragkedja fastnade.
Next person, please.	Nästa person, tack!
No one came with me.	Ingen kom med mig.
No one has anything.	Ingen har någonting.
No one likes losing.	Ingen tycker om att förlora.
No one really cares.	Ingen bryr sig egentligen.
No one really knows.	Det är ingen som faktiskt vet.
No one will be hurt.	Ingen kommer att bli skadad.
No one will survive.	Ingen kommer att överleva.
Nobody picked on me.	Ingen hackade på mig.
Nobody waits for me.	Ingen väntar på mig.
Nobody would see us.	Ingen skulle se oss.
Nobody would see us.	Det var ingen som ville ta emot oss.
Nobody writes to me.	Ingen skriver till mig.
None of it was real.	Ingenting av det var verkligt.
None of it was real.	Ingenting av det var äkta.
Nothing can stop it.	Ingenting kan stoppa den.
Nothing can stop us.	Ingenting kan stoppa oss.
Nothing is going on.	Det är ingenting på gång.
Now I can die happy.	Nu kan jag dö lycklig.
Now I feel relieved.	Jag känner mig lättad nu.
Now, come over here.	Kom hit nu.
Now, open your eyes.	Öppna dina ögon nu.
One of us could win.	En av oss kunde vinna.
One of us could win.	En av oss skulle kunna vinna.
One of you is lying.	En av er ljuger.
People love freedom.	Folk älskar frihet.
Please do it for me.	Gör det för mig är du snäll.
Please speak slowly.	Var snäll och tala långsamt.
Put on a nice dress.	Ta på dig en fin klänning.
Rest here for a bit.	Vila dig här en stund.
Sharpen your pencil.	Vässa din penna.
She can't afford it.	Hon har inte råd med det.
She did pretty well.	Hon gjorde rätt bra ifrån sig.
She had gone to bed.	Hon har gått och lagt sig.
She has pretty eyes.	Hon har vackra ögon.
She has the measles.	Hon har mässlingen.
She is dark-skinned.	Hon är mörkhyad.
She kept on talking.	Hon fortsatte prata.
She seldom goes out.	Hon går sällan ut.
She still loves him.	Hon älskar honom fortfarande.
She's a drama queen.	Hon är en drama queen.
So what do I do now?	Så vad ska jag göra nu?
Somebody set him up.	Någon satte dit honom.
Someday, we'll know.	Förr eller senare kommer vi att veta.
Stand where you are!	Stanna där du är!
Stand where you are!	Stanna där ni är!
